; index, empty, ペパーミント, ほうじ茶, 紅茶, ;
3,13.581,12.004,11.869,12.88,;
4,13.638,12.328,11.904,12.941,;
5,16.176,14.295,13.785,15.214,;
6,16.068,13.897,13.486,15.028,;
7,18.444,16.191,15.692,17.657,;
8,18.444,15.563,15.539,17.57,;
9,18.444,15.098,15.425,17.499,;
0,15.899,12.861,13.192,14.794,;
1,15.837,12.725,13.062,14.704,;
2,13.466,11.227,11.651,12.712,;
3,13.586,12,11.872,12.888,;
4,13.637,12.325,11.906,12.943,;
5,16.171,14.289,13.782,15.223,;
6,16.064,13.902,13.493,15.031,;
7,18.444,16.195,15.699,17.661,;
8,18.444,15.566,15.545,17.573,;
9,18.444,15.102,15.43,17.503,;
0,15.9,12.859,13.196,14.799,;
1,15.839,12.725,13.068,14.699,;
2,13.464,11.219,11.653,12.712,;
3,13.572,11.999,11.877,12.887,;
4,13.634,12.325,11.914,12.951,;
5,16.174,14.291,13.797,15.217,;
6,16.063,13.897,13.494,15.03,;
7,18.444,16.195,15.7,17.662,;
8,18.444,15.567,15.55,17.576,;
9,18.444,15.091,15.442,17.51,;
0,15.902,12.861,13.205,14.8,;
1,15.84,12.72,13.073,14.709,;
2,13.47,11.226,11.655,12.71,;
3,13.579,11.999,11.88,12.89,;
4,13.633,12.322,11.916,12.946,;
5,16.182,14.287,13.805,15.219,;
6,16.062,13.901,13.501,15.037,;
7,18.444,16.197,15.709,17.667,;
8,18.444,15.567,15.558,17.583,;
9,18.444,15.093,15.447,17.514,;
0,15.898,12.862,13.208,14.809,;
1,15.837,12.718,13.074,14.709,;
2,13.473,11.224,11.66,12.715,;
3,13.573,11.998,11.885,12.895,;
4,13.632,12.324,11.921,12.946,;
5,16.17,14.289,13.801,15.229,;
6,16.072,13.897,13.507,15.036,;
7,18.444,16.193,15.716,17.67,;
8,18.444,15.566,15.564,17.585,;
9,18.444,15.098,15.457,17.513,;
0,15.901,12.861,13.213,14.815,;
1,15.835,12.723,13.088,14.71,;
2,13.467,11.224,11.665,12.716,;
3,13.582,12.001,11.888,12.896,;
4,13.641,12.322,11.926,12.951,;
5,16.175,14.29,13.817,15.229,;
6,16.069,13.898,13.511,15.044,;
7,18.444,16.193,15.729,17.678,;
8,18.444,15.572,15.569,17.593,;
9,18.444,15.096,15.462,17.523,;
0,15.907,12.859,13.222,14.813,;
1,15.839,12.723,13.089,14.714,;
2,13.472,11.226,11.667,12.711,;
3,13.58,11.992,11.894,12.898,;
4,13.638,12.318,11.929,12.953,;
5,16.179,14.297,13.811,15.226,;
6,16.068,13.89,13.521,15.044,;
7,18.444,16.193,15.729,17.68,;
8,18.444,15.561,15.58,17.602,;
9,18.444,15.099,15.465,17.528,;
0,15.904,12.855,13.221,14.819,;
1,15.842,12.72,13.093,14.724,;
2,13.469,11.219,11.669,12.727,;
3,13.582,12.001,11.893,12.896,;
4,13.642,12.325,11.932,12.957,;
5,16.181,14.29,13.817,15.238,;
6,16.076,13.9,13.527,15.046,;
7,18.444,16.197,15.737,17.677,;
8,18.444,15.569,15.59,17.598,;
9,18.444,15.101,15.478,17.531,;
0,15.902,12.86,13.232,14.824,;
1,15.839,12.72,13.098,14.723,;
2,13.471,11.226,11.676,12.72,;
3,13.583,11.996,11.9,12.904,;
4,13.645,12.329,11.935,12.954,;
5,16.175,14.289,13.827,15.233,;
6,16.066,13.898,13.52,15.052,;
7,18.444,16.193,15.747,17.682,;
8,18.444,15.565,15.595,17.597,;
9,18.444,15.09,15.482,17.537,;
0,15.907,12.865,13.234,14.824,;
1,15.841,12.721,13.103,14.721,;
2,13.468,11.22,11.675,12.725,;
3,13.586,12,11.905,12.901,;
4,13.642,12.325,11.943,12.96,;
5,16.18,14.289,13.827,15.241,;
6,16.08,13.896,13.536,15.047,;
7,18.444,16.193,15.749,17.682,;
8,18.444,15.563,15.613,17.602,;
9,18.444,15.096,15.486,17.542,;
0,15.905,12.863,13.235,14.824,;
1,15.846,12.725,13.109,14.731,;
2,13.473,11.22,11.683,12.724,;
3,13.583,11.999,11.907,12.906,;
4,13.638,12.325,11.946,12.964,;
5,16.177,14.286,13.844,15.241,;
6,16.071,13.9,13.541,15.061,;
7,18.444,16.201,15.762,17.725,;
8,18.444,15.566,15.622,17.616,;
9,18.444,15.103,15.498,17.55,;
0,15.91,12.864,13.245,14.838,;
1,15.848,12.722,13.117,14.738,;
2,13.466,11.222,11.687,12.726,;
3,13.584,11.999,11.912,12.903,;
4,13.64,12.323,11.949,12.963,;
5,16.181,14.29,13.856,15.237,;
6,16.072,13.901,13.547,15.061,;
7,18.444,16.192,15.77,17.721,;
8,18.444,15.562,15.628,17.611,;
9,18.444,15.106,15.503,17.547,;
0,15.907,12.86,13.253,14.834,;
1,15.846,12.726,13.122,14.734,;
2,13.471,11.225,11.689,12.731,;
3,13.58,11.993,11.913,12.911,;
4,13.643,12.322,11.953,12.968,;
5,16.178,14.288,13.844,15.246,;
6,16.071,13.901,13.56,15.065,;
7,18.444,16.197,15.773,17.721,;
8,18.444,15.565,15.636,17.622,;
9,18.444,15.102,15.513,17.548,;
0,15.913,12.863,13.254,14.842,;
1,15.849,12.728,13.127,14.739,;
2,13.473,11.227,11.692,12.729,;
3,13.588,12,11.918,12.911,;
4,13.642,12.324,11.956,12.967,;
5,16.181,14.286,13.851,15.248,;
6,16.072,13.898,13.553,15.067,;
7,18.444,16.203,15.779,17.727,;
8,18.444,15.565,15.643,17.618,;
9,18.444,15.103,15.521,17.55,;
0,15.91,12.861,13.26,14.843,;
1,15.846,12.721,13.132,14.734,;
2,13.474,11.223,11.694,12.733,;
3,13.586,11.999,11.921,12.911,;
